ASIN,Product_Name,Reviews,Price,Estimated_Value
B0000C73CQ,Fujifilm Instax Mini Picture Format,213344,3190.0,680567360.0
B08ZJG6TVT,Seagate Expansion 2TB External HDD,32612,12699.0,414139788.0
B0FBRGKXHG,OnePlus Bullets Wireless Z3 in-Ear,230008,1799.0,413784392.0
B00A0VCJPI,TP-Link TL-WA850RE N300 Wireless Range,204260,1549.0,316398740.0
B094QZLJQ6,Seagate One Touch 2Tb External,21048,12999.0,273602952.0
B005FYNT3G,SANDISK Cruzer Blade 32GB,273138,739.0,201848982.0
B071Z8M4KX,Boat BassHeads 100 in-Ear Headphones,434782,449.0,195217118.0
B08TV2P1N8,Boat Rockerz 255 Pro+,149165,1199.0,178848835.0
B0DNPWJLQC,realme Buds Wireless 5 ANC,92293,1648.0,152098864.0
B00HVLUR18,Audio-Technica ATH-M20x Over-Ear Professional Studio,26141,4149.0,108459009.0
B00NHQFA1I,LEGO Classic Medium Creative Brick,55869,1919.0,107212611.0
B0FHHG2YW4,PowerMax Fitness TDM-96B 4HP DC,6997,14999.0,104948003.0
B0FHB5V36G,iQOO Z10R 5G (Aquamarine,4258,22998.0,97925484.0
B0BLSJZC94,Pioneer DJ DDJ-FLX4 2-deck Rekordbox,3154,30999.0,97770846.0
B0F8BVSK21,Boat Airdopes 141 Gen 2,88839,1099.0,97634061.0
B017NPCSLI,Juârez Acoustic Guitar Kit,48070,1984.0,95370880.0
B0BJ72WZQ7,Noise Twist Round dial Smart,54307,1599.0,86836893.0
B0FMDL81GS,OnePlus Nord Buds 3r TWS,44259,1799.0,79621941.0
B097GR45SS,Safari Pentagon Pro 8 Wheels,35066,1999.0,70096934.0
B076B8G5D8,BOYA ByM1 Auxiliary Omnidirectional Lavalier,82398,848.0,69873504.0
B01N54ZM9W,ASIAN Wonder-13 Men's Running Shoe,110847,599.0,66397353.0
B0FD817WFP,Lifelong Fit Pro Treadmill 3,6893,9499.0,65476607.0
B0FM38916Y,Boat Bassheads 300C Wired Earphones,118455,549.0,65031795.0
B0D7HZ3KK9,OnePlus Nord Buds 3 Pro,20422,3099.0,63287778.0
B0F1D9Q5G4,realme NARZO 80 Pro 5G,2620,21999.0,57637380.0
B06Y2FG6R7,Allen Solly Men’s Polo T‑Shirt,81308,699.0,56834292.0
B0FJFRYXFK,Redmi 15 5G Sandy Purple,1919,22499.0,43175581.0
B0F43VZ4H1,Samsung Galaxy M56 5G Mobile,1639,23499.0,38514861.0
B0B6BLTGTT,"Noise Pulse 2 Max 1.85""",25105,1499.0,37632395.0
B000FI8ER8,Yonex Mavis 350 Green Cap,33288,1115.0,37116120.0
B0FN7RN9TH,Samsung Galaxy M17 5G Mobile,2459,14499.0,35653041.0
B073B6TQQY,Intern 38 Inch Acoustic Guitar,17525,1983.0,34752075.0
B07HJJTHD1,Van Heusen Men's Cotton Solid,44493,699.0,31100607.0
B07CJCGM1M,American Tourister 32 Ltrs Black,34257,899.0,30797043.0
B08317Y4VP,Yamaha F280 Acoustic Guitar –,4391,6929.0,30425239.0
B0GMWDK829,UTECTION by VOOK Wireless Mic,12926,2299.0,29716874.0
B0DHSFBRPB,LEGO Speed Champions Oracle Red,17227,1649.0,28407323.0
B0GRBBPBGQ,OnePlus Nord 6,689,38998.0,26869622.0
B07M8H2HR4,adidas Men Drogo M Running,16239,1579.0,25641381.0
B0D2DLQMGY,Lavie Women's Betula Tote Handbag,23935,1049.0,25107815.0
B0DN1RPL19,GOBOULT Mustang Sprint in Ear,13301,1799.0,23928499.0
B09D8CXJ2Q,DOCTOR EXTRA SOFT Care Diabetic,59499,398.5,23710351.5
B00JJJIIE8,Toyzone Baby Panda Kids Magic,18782,1234.0,23176988.0
B08P5ML6GK,WildHorn Wildhorn India Brown Leather,37916,597.0,22635852.0
B075GCYS36,Sparx Mens SS 453 Sandals,34677,616.0,21361032.0
B07MWD4D4W,M MEDLER Epoch Nylon 55,32879,599.0,19694521.0
B08PSHLJGL,Campus Men North Plus Running,17616,1099.0,19359984.0
B0F5HKFPWR,American Tourister Ivy 2.0,6904,2799.0,19324296.0
B07BZ5VC4H,Safari 45L Expandable Overnighter Casual,10289,1839.0,18921471.0
B09GP6FBZT,OpenTech® Military-Grade Premium Tempered Glass,67517,277.4,18729215.799999997
B09RPPS669,Campus Men Oxyfit (N) Walking,26737,698.0,18662426.0
B010FMJKFS,Jockey 1406 Women's High Coverage,40922,449.0,18373978.0
B0BL11Q9D3,Kamiliant American Tourister Harrier,15122,1199.0,18131278.0
B0DCZ3WDTB,Xiaomi Power Bank 4i 20000mAh,10002,1799.0,17993598.0
B0DXQFRQZP,Oakter Mini UPS Basic for,19853,899.0,17847847.0
B01IEVIVAC,Yonex Mavis 200i Nylon Shuttle,33488,529.0,17715152.0
B0DBGP48NW,realme Buds T310 True Wireless,8328,2099.0,17480472.0
B0D7MNX9Y5,Apple EarPods with Lightning Connector,10887,1549.0,16863963.0
B0BCGC1CFV,LuvLap Sunny Ride on &,14302,1099.0,15717898.0
B010FMOONG,Jockey 1410 Women's Medium Coverage,31440,499.0,15688560.0
B08VRGH6NM,Bajaj Pygmy Mini Fan 110MM,17125,899.0,15395375.0
B09RGJCVW6,Puma Mens Dazzler Sneaker,9686,1549.0,15003614.0
B0D2R2MXXJ,Samsung Original 25W USB Type-C,19976,750.0,14982000.0
B0FJG2TL3C,Lenovo Idea Tab Smartchoice with,604,23999.0,14495396.0
B07MZM26XG,Amazon Brand - Symbol Men's,38857,369.0,14338233.0
B0FN7QTRPY,Samsung Galaxy M07 Mobile (Black,1373,9999.0,13728627.0
B0FHWWDRRM,OnePlus Pad Lite with Biggest,705,18999.0,13394295.0
B09W5PSTBP,Lifelong PVC Hex Dumbbells Pack,25613,509.0,13037017.0
B097RJ22Q3,Lavie Sport Polyester Lino Wheel,13011,987.0,12841857.0
B09ZV5JHVR,GRENARO J13 Wireless Mic for,5906,2173.0,12833738.0
B01HJI0FS2,Dell MS116 Wired Mouse,47669,269.0,12822961.0
B01L77Z7WK,Kadence Adjustable Keyboard Stand –,7143,1699.0,12135957.0
B085LFPKQB,HORNBULL Denial Navy Leather Wallet,19037,599.0,11403163.0
B077T3BG5L,Zebronics ZEB-KM2100 Multimedia USB Keyboard,45517,249.0,11333733.0
B098FFTDKT,"Gear Cross Training 9""/29L Large",25425,445.0,11314125.0
B07YDGQQN5,Fur Jaden 55 LTR Rucksack,14034,795.0,11157030.0
B0BTD4S4XF,American Tourister Valex,11214,949.0,10642086.0
B0BTD4S4XF,American Tourister Valex,11214,949.0,10642086.0
B076WQ3M5X,Imagimake Mapology India with State,27840,376.2,10473408.0
B09SHVCTZF,Reebok Men's Running Shoes EVA,6867,1499.0,10293633.0
B08DXGDQF2,DOCTOR EXTRA SOFT House Slipper,27195,377.5,10266112.5
B0C3ZYFZ77,Boat Airdopes Joy,9272,1099.0,10189928.0
B0D9S87H53,Ambrane Magsafe Wireless 10000Mah Fast,7655,1299.0,9943845.0
B097JJ2CK6,Safari Omega spacious/large laptop backpack,16450,599.0,9853550.0
B097JJ2CK6,Safari Omega spacious/large laptop backpack,16450,599.0,9853550.0
B09N75RFX1,Yamaha PSR-F52 Portable Keyboard –,1312,7414.0,9727168.0
B0FDGVNSLH,Samsung Galaxy Buds Core (Black),2260,4199.0,9489740.0
B07JPX9CR7,Dell WM118 Wireless Mouse,16520,549.0,9069480.0
B07Q822CWX,GoTrippin by Destinio Weight Machine,14853,610.0,9060330.0
B00004TZY8,Mattel Uno Playing Card Game,88951,99.0,8806149.0
B0FT396JRW,SupCares Tempered Glass for Samsung,31540,275.0,8673500.0
B0CYSS21S6,Amazon Brand - Solimo Garden,5394,1599.0,8625006.0
B0F5HLYQK3,American Tourister Liftoff+,2404,3499.0,8411596.0
B0F67J5S83,Safari Cabin Genius Alley 55cm,6454,1299.0,8383746.0
B012SX56OG,Jockey IC28 Men's Tactel Microfiber,13791,599.0,8260809.0
B0DNFSSF3F,SANDISK Ultra Dual Drive Go,4237,1949.0,8257913.0
B08CYNJ5KY,HP 682 Black Original Ink,8050,1025.0,8251250.0
B09J171VHQ,Jockey 1722 Women's Wirefree Non,16182,499.0,8074818.0
B00ADZUNYK,Little's Junior Ring (Plastic,50391,159.0,8012169.0
B07M9BRCQ5,Fur Jaden Brown Textured Leatherette,12169,649.0,7897681.0
